Close,datetime,exchange_code,expiry_date,High,Low,Open,open_interest,product_type,right,stock_code,strike_price,Volume
27.15,2024-04-22 11:25:00,NFO,30-MAY-2024,27.15,27.15,27.15,89600,Options,Call,NESIND,2600.0,0
27.25,2024-04-22 11:26:00,NFO,30-MAY-2024,27.25,26.45,26.45,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:27:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,1200
27.1,2024-04-22 11:28:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:29:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:30:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:31:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:32:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:33:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:34:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:35:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.1,2024-04-22 11:36:00,NFO,30-MAY-2024,27.1,27.1,27.1,89600,Options,Call,NESIND,2600.0,0
27.15,2024-04-22 11:37:00,NFO,30-MAY-2024,27.15,27.1,27.1,89600,Options,Call,NESIND,2600.0,400
27.15,2024-04-22 11:38:00,NFO,30-MAY-2024,27.15,27.15,27.15,89600,Options,Call,NESIND,2600.0,0
27.15,2024-04-22 11:39:00,NFO,30-MAY-2024,27.15,27.15,27.15,89600,Options,Call,NESIND,2600.0,0
