Close,datetime,exchange_code,High,Low,Open,stock_code,Volume
2524.95,2024-05-08 12:24:08,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.05,2024-05-08 12:24:09,NSE,2525.05,2525.05,2525.05,NESIND,401
2524.95,2024-05-08 12:24:10,NSE,2524.95,2524.95,2524.95,NESIND,33
2524.95,2024-05-08 12:24:11,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.75,2024-05-08 12:24:13,NSE,2525.75,2525.75,2525.75,NESIND,34
2524.95,2024-05-08 12:24:14,NSE,2524.95,2524.95,2524.95,NESIND,9
2524.95,2024-05-08 12:24:15,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:16,NSE,2524.95,2524.95,2524.95,NESIND,21
2525.8,2024-05-08 12:24:17,NSE,2525.8,2525.8,2525.8,NESIND,5
2524.95,2024-05-08 12:24:18,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:24:20,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:21,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:22,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:23,NSE,2525.8,2524.95,2525.8,NESIND,13
2524.95,2024-05-08 12:24:25,NSE,2524.95,2524.95,2524.95,NESIND,17
2524.95,2024-05-08 12:24:26,NSE,2524.95,2524.95,2524.95,NESIND,11
2524.95,2024-05-08 12:24:27,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:28,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.8,2024-05-08 12:24:29,NSE,2525.8,2525.8,2525.8,NESIND,2
2524.95,2024-05-08 12:24:30,NSE,2524.95,2524.95,2524.95,NESIND,19
2525.0,2024-05-08 12:24:31,NSE,2525.0,2525.0,2525.0,NESIND,202
2524.95,2024-05-08 12:24:33,NSE,2525.05,2524.95,2525.05,NESIND,234
2524.95,2024-05-08 12:24:34,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:24:36,NSE,2524.95,2524.95,2524.95,NESIND,58
2524.95,2024-05-08 12:24:37,NSE,2524.95,2524.95,2524.95,NESIND,30
2524.95,2024-05-08 12:24:38,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.2,2024-05-08 12:24:39,NSE,2525.2,2525.2,2525.2,NESIND,340
2525.05,2024-05-08 12:24:40,NSE,2525.05,2525.05,2525.05,NESIND,393
2525.0,2024-05-08 12:24:41,NSE,2525.0,2525.0,2525.0,NESIND,403
2525.45,2024-05-08 12:24:42,NSE,2525.45,2525.45,2525.45,NESIND,96
2524.95,2024-05-08 12:24:43,NSE,2524.95,2524.95,2524.95,NESIND,19
2524.95,2024-05-08 12:24:44,NSE,2524.95,2524.95,2524.95,NESIND,2
2524.95,2024-05-08 12:24:45,NSE,2524.95,2524.95,2524.95,NESIND,9
2524.95,2024-05-08 12:24:46,NSE,2524.95,2524.95,2524.95,NESIND,1
2525.2,2024-05-08 12:24:47,NSE,2525.2,2525.2,2525.2,NESIND,1
2525.2,2024-05-08 12:24:48,NSE,2525.2,2525.2,2525.2,NESIND,0
2525.2,2024-05-08 12:24:49,NSE,2525.2,2525.2,2525.2,NESIND,0
2525.45,2024-05-08 12:24:50,NSE,2525.45,2524.95,2524.95,NESIND,31
2524.95,2024-05-08 12:24:51,NSE,2524.95,2524.95,2524.95,NESIND,5
2524.95,2024-05-08 12:24:52,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.45,2024-05-08 12:24:53,NSE,2525.45,2525.45,2525.45,NESIND,5
2525.4,2024-05-08 12:24:55,NSE,2525.4,2525.4,2525.4,NESIND,4
2525.4,2024-05-08 12:24:56,NSE,2525.4,2525.4,2525.4,NESIND,0
2525.05,2024-05-08 12:24:57,NSE,2525.4,2525.05,2525.4,NESIND,179
2524.95,2024-05-08 12:24:59,NSE,2524.95,2524.95,2524.95,NESIND,25
2524.95,2024-05-08 12:25:00,NSE,2524.95,2524.95,2524.95,NESIND,4
2525.0,2024-05-08 12:25:01,NSE,2525.0,2525.0,2525.0,NESIND,119
2524.95,2024-05-08 12:25:02,NSE,2524.95,2524.95,2524.95,NESIND,23
2524.95,2024-05-08 12:25:03,NSE,2524.95,2524.95,2524.95,NESIND,6
2524.95,2024-05-08 12:25:04,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:05,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:06,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:07,NSE,2524.95,2524.95,2524.95,NESIND,19
2525.15,2024-05-08 12:25:08,NSE,2525.15,2524.95,2524.95,NESIND,1
2525.0,2024-05-08 12:25:10,NSE,2525.0,2525.0,2525.0,NESIND,76
2525.1,2024-05-08 12:25:11,NSE,2525.1,2524.95,2524.95,NESIND,407
2524.95,2024-05-08 12:25:13,NSE,2525.05,2524.95,2525.05,NESIND,394
2525.05,2024-05-08 12:25:14,NSE,2525.05,2525.05,2525.05,NESIND,2
2524.95,2024-05-08 12:25:16,NSE,2525.05,2524.95,2525.05,NESIND,11
2524.95,2024-05-08 12:25:17,NSE,2524.95,2524.95,2524.95,NESIND,26
2525.05,2024-05-08 12:25:18,NSE,2525.05,2525.05,2525.05,NESIND,1
2525.05,2024-05-08 12:25:19,NSE,2525.05,2525.05,2525.05,NESIND,3
2524.95,2024-05-08 12:25:20,NSE,2524.95,2524.95,2524.95,NESIND,209
2524.95,2024-05-08 12:25:21,NSE,2524.95,2524.95,2524.95,NESIND,46
2524.95,2024-05-08 12:25:22,NSE,2524.95,2524.95,2524.95,NESIND,6
2524.95,2024-05-08 12:25:23,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:24,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:25,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:26,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:25:27,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.45,2024-05-08 12:25:28,NSE,2525.45,2525.45,2525.45,NESIND,29
2524.95,2024-05-08 12:25:29,NSE,2524.95,2524.95,2524.95,NESIND,5
2524.95,2024-05-08 12:25:30,NSE,2524.95,2524.95,2524.95,NESIND,6
2525.0,2024-05-08 12:25:31,NSE,2525.0,2525.0,2525.0,NESIND,3
2525.0,2024-05-08 12:25:32,NSE,2525.0,2525.0,2525.0,NESIND,0
2524.95,2024-05-08 12:25:33,NSE,2524.95,2524.95,2524.95,NESIND,6
2524.95,2024-05-08 12:25:35,NSE,2524.95,2524.95,2524.95,NESIND,36
2524.95,2024-05-08 12:25:36,NSE,2524.95,2524.95,2524.95,NESIND,0
2525.05,2024-05-08 12:25:37,NSE,2525.05,2525.05,2525.05,NESIND,242
2525.0,2024-05-08 12:25:38,NSE,2525.0,2525.0,2525.0,NESIND,229
2525.05,2024-05-08 12:25:40,NSE,2525.05,2525.05,2525.05,NESIND,236
2524.95,2024-05-08 12:25:41,NSE,2524.95,2524.95,2524.95,NESIND,160
2524.95,2024-05-08 12:25:42,NSE,2525.0,2524.95,2525.0,NESIND,13
2524.95,2024-05-08 12:25:43,NSE,2524.95,2524.95,2524.95,NESIND,1
2525.0,2024-05-08 12:25:44,NSE,2525.0,2525.0,2525.0,NESIND,3
2525.0,2024-05-08 12:25:46,NSE,2525.05,2525.0,2525.05,NESIND,489
2524.95,2024-05-08 12:25:47,NSE,2524.95,2524.95,2524.95,NESIND,212
2524.95,2024-05-08 12:25:48,NSE,2524.95,2524.95,2524.95,NESIND,4
2524.95,2024-05-08 12:25:50,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:25:51,NSE,2524.95,2524.95,2524.95,NESIND,22
2524.95,2024-05-08 12:25:52,NSE,2524.95,2524.95,2524.95,NESIND,17
2525.0,2024-05-08 12:25:53,NSE,2525.0,2525.0,2525.0,NESIND,1
2525.0,2024-05-08 12:25:54,NSE,2525.0,2525.0,2525.0,NESIND,0
2525.0,2024-05-08 12:25:55,NSE,2525.0,2525.0,2525.0,NESIND,0
2525.0,2024-05-08 12:25:57,NSE,2525.0,2525.0,2525.0,NESIND,0
2525.0,2024-05-08 12:25:58,NSE,2525.0,2525.0,2525.0,NESIND,6
2524.95,2024-05-08 12:25:59,NSE,2524.95,2524.95,2524.95,NESIND,115
2524.95,2024-05-08 12:26:00,NSE,2524.95,2524.95,2524.95,NESIND,24
2524.95,2024-05-08 12:26:01,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:26:02,NSE,2524.95,2524.95,2524.95,NESIND,4
2524.95,2024-05-08 12:26:04,NSE,2524.95,2524.95,2524.95,NESIND,2
2525.3,2024-05-08 12:26:05,NSE,2525.3,2525.3,2525.3,NESIND,1
2525.0,2024-05-08 12:26:06,NSE,2525.0,2525.0,2525.0,NESIND,8
2525.0,2024-05-08 12:26:07,NSE,2525.0,2525.0,2525.0,NESIND,14
2525.0,2024-05-08 12:26:08,NSE,2525.0,2525.0,2525.0,NESIND,1
2525.25,2024-05-08 12:26:09,NSE,2525.25,2525.25,2525.25,NESIND,20
2524.95,2024-05-08 12:26:10,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:26:11,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:26:13,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:26:14,NSE,2524.95,2524.95,2524.95,NESIND,6
2524.95,2024-05-08 12:26:15,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:26:16,NSE,2524.95,2524.95,2524.95,NESIND,49
2524.95,2024-05-08 12:26:18,NSE,2524.95,2524.95,2524.95,NESIND,84
2524.95,2024-05-08 12:26:19,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:26:20,NSE,2524.95,2524.95,2524.95,NESIND,0
2524.95,2024-05-08 12:26:21,NSE,2524.95,2524.95,2524.95,NESIND,1
2524.95,2024-05-08 12:26:22,NSE,2524.95,2524.95,2524.95,NESIND,4
2524.95,2024-05-08 12:26:23,NSE,2524.95,2524.95,2524.95,NESIND,293
2524.95,2024-05-08 12:26:24,NSE,2524.95,2524.95,2524.95,NESIND,28
2525.25,2024-05-08 12:26:25,NSE,2525.25,2525.25,2525.25,NESIND,21
2524.95,2024-05-08 12:26:26,NSE,2524.95,2524.95,2524.95,NESIND,27
2525.0,2024-05-08 12:26:28,NSE,2525.0,2525.0,2525.0,NESIND,215
2524.9,2024-05-08 12:26:29,NSE,2524.9,2524.9,2524.9,NESIND,1
2524.9,2024-05-08 12:26:30,NSE,2524.9,2524.9,2524.9,NESIND,0
2524.7,2024-05-08 12:26:31,NSE,2524.7,2524.7,2524.7,NESIND,8
2524.7,2024-05-08 12:26:32,NSE,2524.7,2524.7,2524.7,NESIND,8
2524.7,2024-05-08 12:26:34,NSE,2524.7,2524.7,2524.7,NESIND,27
2524.9,2024-05-08 12:26:35,NSE,2524.9,2524.9,2524.9,NESIND,3
2524.9,2024-05-08 12:26:36,NSE,2524.9,2524.9,2524.9,NESIND,6
2524.9,2024-05-08 12:26:38,NSE,2524.9,2524.9,2524.9,NESIND,2
2524.7,2024-05-08 12:26:39,NSE,2524.7,2524.7,2524.7,NESIND,11
2524.7,2024-05-08 12:26:40,NSE,2524.7,2524.7,2524.7,NESIND,2
2524.7,2024-05-08 12:26:41,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:42,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:43,NSE,2524.7,2524.7,2524.7,NESIND,5
2524.7,2024-05-08 12:26:44,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:45,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:47,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:48,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:49,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:50,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:26:51,NSE,2524.7,2524.7,2524.7,NESIND,2
2524.7,2024-05-08 12:26:52,NSE,2524.7,2524.7,2524.7,NESIND,1
2524.9,2024-05-08 12:26:53,NSE,2524.9,2524.9,2524.9,NESIND,3
2524.7,2024-05-08 12:26:54,NSE,2524.7,2524.7,2524.7,NESIND,1
2524.9,2024-05-08 12:26:55,NSE,2524.9,2524.9,2524.9,NESIND,7
2524.7,2024-05-08 12:26:56,NSE,2524.7,2524.7,2524.7,NESIND,15
2524.7,2024-05-08 12:26:57,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.9,2024-05-08 12:26:59,NSE,2524.9,2524.9,2524.9,NESIND,4
2524.7,2024-05-08 12:27:00,NSE,2524.7,2524.7,2524.7,NESIND,8
2524.7,2024-05-08 12:27:01,NSE,2524.7,2524.7,2524.7,NESIND,0
2524.7,2024-05-08 12:27:03,NSE,2524.7,2524.7,2524.7,NESIND,16
2524.7,2024-05-08 12:27:04,NSE,2524.7,2524.7,2524.7,NESIND,1
2525.0,2024-05-08 12:27:05,NSE,2525.0,2525.0,2525.0,NESIND,1
