datetime,ltp,qty
1718346141093,91.5,25
1718346142003,91.4,25
1718346142003,91.4,25
1718346143078,91.3,50
1718346143530,91.4,75
1718346144241,91.35,150
1718346144518,91.2,25
1718346144873,91.05,50
1718346145485,91.1,25
1718346146118,91.25,125
1718346146502,91.25,75
1718346147147,91.25,50
1718346147147,91.25,50
1718346148193,91.2,50
1718346148193,91.2,50
1718346149148,91.15,25
1718346149311,91.15,25
1718346150150,90.8,50
1718346150242,90.85,25
1718346150633,90.5,25
1718346150948,90.55,50
1718346151467,90.55,25
1718346152059,90.55,50
1718346152733,90.85,25
1718346152838,91.0,25
1718346152838,91.0,25
1718346154260,91.35,75
1718346154260,91.35,75
1718346155169,91.7,25
1718346155594,91.65,200
1718346156093,91.65,50
1718346156611,91.65,25
1718346157002,91.6,25
1718346157002,91.6,25
1718346157706,91.75,25
1718346158306,91.75,125
1718346159243,91.6,50
1718346159243,91.6,50
1718346160255,91.75,25
1718346160255,91.75,25
1718346161041,91.4,25
1718346161529,91.25,100
1718346162066,91.15,25
1718346162298,91.2,200
1718346162816,91.4,25
1718346163408,91.3,25
1718346164257,91.05,25
1718346164500,91.25,50
1718346164955,91.25,50
1718346165574,91.25,25
1718346166005,91.25,50
1718346166324,91.4,25
1718346167033,91.85,25
1718346167033,91.85,25
1718346167857,91.8,100
1718346168834,92.0,25
1718346169250,91.95,50
1718346169250,91.95,50
1718346169967,92.0,25
1718346169967,92.0,25
1718346171044,92.2,150
1718346171383,92.2,50
1718346172262,92.35,175
1718346172262,92.35,175
1718346173139,92.1,75
1718346173472,92.3,25
1718346174283,92.5,25
1718346174536,92.65,25
1718346175290,93.0,25
1718346175799,92.75,75
1718346175911,92.6,400
1718346175911,92.6,400
1718346177237,92.65,25
1718346177237,92.65,25
1718346178293,92.85,25
1718346178642,92.75,75
1718346179122,92.85,25
1718346179635,92.7,25
1718346180044,92.6,25
1718346180044,92.6,25
1718346180796,93.0,50
1718346180796,93.0,50
1718346180796,93.0,50
1718346182212,92.9,25
1718346182212,92.9,25
1718346182968,92.8,125
1718346183366,92.95,25
1718346184012,92.9,25
