name,avg_return,avg_volatility,len,interval,period
ATLANTAA,0.2779,3.231,246,1d,1y
ATUL,-0.0564,1.5307,245,1d,1y
ATULAUTO,0.075,3.038,246,1d,1y
AUBANK,-0.0252,1.6906,245,1d,1y
AURIONPRO,0.7971,3.018,245,1d,1y
AUROPHARMA,0.2669,1.8712,246,1d,1y
AURUM,0.123,2.8715,245,1d,1y
AUSOMENT,0.1934,3.8403,245,1d,1y
AUTOAXLES,-0.1158,1.6605,245,1d,1y
AUTOIND,0.2276,3.5427,246,1d,1y
AVADHSUGAR,0.0984,2.5603,246,1d,1y
AVALON,0.1098,2.7198,244,1d,1y
AVANTIFEED,0.1497,2.0454,246,1d,1y
AVG,0.5376,3.437,245,1d,1y
AVONMORE,0.1673,3.0835,246,1d,1y
AVROIND,0.0506,3.4288,246,1d,1y
AVTNPL,0.0069,2.1814,246,1d,1y
AWHCL,0.268,3.1898,246,1d,1y
AWL,-0.0709,2.2526,246,1d,1y
AXISBANK,0.0884,1.2361,246,1d,1y
AXISCADES,0.277,3.0648,246,1d,1y
AXITA,-0.3185,3.7889,246,1d,1y
AYMSYNTEX,0.1163,2.7605,245,1d,1y
AZAD,0.9055,3.9706,71,1d,1y
BAFNAPH,-0.0086,2.3815,245,1d,1y
BAGFILMS,0.3111,3.957,245,1d,1y
BAIDFIN,-0.1975,3.5332,245,1d,1y
BAJAJ-AUTO,0.3055,1.4284,246,1d,1y
BAJAJCON,0.1527,1.9374,246,1d,1y
BAJAJELEC,-0.0083,1.5013,246,1d,1y
BAJAJFINSV,0.0964,1.2395,246,1d,1y
BAJAJHCARE,-0.0045,2.8811,246,1d,1y
BAJAJHIND,0.3502,3.661,246,1d,1y
BAJAJHLDNG,0.1303,1.628,245,1d,1y
BAJEL,0.2018,4.9412,77,1d,1y
BAJFINANCE,0.0826,1.422,246,1d,1y
BALAJITELE,0.2852,3.6629,246,1d,1y
BALAMINES,-0.0386,2.2756,246,1d,1y
BALAXI,0.0196,2.8815,245,1d,1y
BALKRISHNA,-0.0547,4.3071,245,1d,1y
BALKRISIND,0.0592,1.7304,246,1d,1y
BALMLAWRIE,0.335,2.8878,246,1d,1y
BALPHARMA,0.1446,2.7609,245,1d,1y
BALRAMCHIN,-0.0273,1.7946,246,1d,1y
BANARBEADS,0.0736,2.0061,245,1d,1y
BANARISUG,-0.0517,1.5956,245,1d,1y
BANCOINDIA,0.4065,3.0539,246,1d,1y
BANDHANBNK,-0.0464,1.8675,246,1d,1y
BANG,0.1081,3.2277,245,1d,1y
BANKA,0.1796,3.0433,245,1d,1y
BANKBARODA,0.1824,1.7323,246,1d,1y
BANKINDIA,0.2541,2.3862,246,1d,1y
BANSWRAS,0.0534,2.6454,245,1d,1y
BARBEQUE,-0.0764,1.8611,246,1d,1y
BASF,0.1783,1.3684,246,1d,1y
BASML,-0.0058,2.6929,246,1d,1y
BATAINDIA,-0.0038,1.0842,246,1d,1y
BAYERCROP,0.1166,1.5035,246,1d,1y
BBL,0.3641,2.5571,246,1d,1y
BBOX,0.3321,3.198,245,1d,1y
BBTC,0.2435,2.9104,246,1d,1y
BBTCL,0.0674,2.556,246,1d,1y
BCG,0.0104,3.953,246,1d,1y
BCLIND,0.1362,3.142,246,1d,1y
BCONCEPTS,0.5018,2.759,246,1d,1y
BDL,0.2357,2.5694,246,1d,1y
BEARDSELL,0.2369,3.4113,245,1d,1y
BECTORFOOD,0.2732,2.6682,245,1d,1y
BEDMUTHA,0.5288,3.5021,245,1d,1y
BEL,0.3425,1.7741,246,1d,1y
BEML,0.4197,3.1451,246,1d,1y
BEPL,0.1616,2.5273,246,1d,1y
BERGEPAINT,0.0587,1.5211,246,1d,1y
BESTAGRO,-0.7932,7.5379,63,1d,1y
BFINVEST,0.0792,2.9221,246,1d,1y
BFUTILITIE,0.3648,3.3921,246,1d,1y
BGRENERGY,-0.094,4.1079,246,1d,1y
BHAGCHEM,0.1156,2.2248,245,1d,1y
BHAGERIA,0.0843,2.6551,245,1d,1y
BHAGYANGR,0.3835,3.9585,245,1d,1y
BHANDARI,0.245,3.2348,246,1d,1y
BHARATFORG,0.1734,1.7778,246,1d,1y
BHARATGEAR,-0.0066,1.9227,245,1d,1y
BHARATRAS,-0.008,1.3775,245,1d,1y
BHARATWIRE,0.2894,3.0547,246,1d,1y
BHARTIARTL,0.1913,1.1334,246,1d,1y
BHARTIHEXA,,,1,1d,1y
BHEL,0.5291,2.794,246,1d,1y
BIGBLOC,0.2106,3.3538,246,1d,1y
BIKAJI,0.1676,1.768,246,1d,1y
BIL,0.3595,3.7798,246,1d,1y
BINANIIND,-0.1325,2.6115,245,1d,1y
BIOCON,0.0821,1.9131,246,1d,1y
BIOFILCHEM,0.1715,3.0598,245,1d,1y
BIRLACABLE,0.2818,3.6881,246,1d,1y
BIRLACORPN,0.2021,2.0706,246,1d,1y
BIRLAMONEY,0.335,2.9959,246,1d,1y
BKMINDST,0.2018,3.7103,245,1d,1y
BLAL,-0.0279,3.1474,243,1d,1y
BLBLIMITED,-0.0423,2.9264,246,1d,1y
BLISSGVS,0.1662,3.1307,246,1d,1y
BLKASHYAP,0.2604,2.9221,246,1d,1y
BLS,0.272,2.8487,246,1d,1y
BLSE,-0.3063,4.1904,45,1d,1y
BLUECHIP,0.9505,3.0375,245,1d,1y
BLUEDART,-0.0059,1.3304,246,1d,1y
BLUEJET,-0.0497,2.4533,109,1d,1y
BLUESTARCO,0.2572,1.8648,246,1d,1y
BODALCHEM,0.0883,2.6937,246,1d,1y
BOHRAIND,-0.6191,3.0816,245,1d,1y
BOMDYEING,0.3084,3.3851,246,1d,1y
BOROLTD,-0.0068,2.1964,245,1d,1y
BORORENEW,0.0836,2.6589,246,1d,1y
BOSCHLTD,0.1864,1.2584,246,1d,1y
BPCL,0.2421,1.8378,246,1d,1y
BPL,0.1859,3.6533,246,1d,1y
BRIGADE,0.3007,1.9804,245,1d,1y
BRITANNIA,0.0444,1.0891,245,1d,1y
BRNL,0.3295,4.0575,246,1d,1y
BROOKS,0.1835,3.4702,245,1d,1y
BSE,0.7421,2.9896,246,1d,1y
BSHSL,-0.2134,2.6907,245,1d,1y
BSL,0.0271,2.51,246,1d,1y
BSOFT,0.4178,2.0008,246,1d,1y
BTML,-0.0612,2.8745,246,1d,1y
BURNPUR,0.13,3.0976,246,1d,1y
BUTTERFLY,-0.1437,1.8227,245,1d,1y
BVCL,0.2669,3.2489,246,1d,1y
BYKE,0.2353,2.9323,245,1d,1y
CALSOFT,0.0908,3.3626,245,1d,1y
CAMLINFINE,-0.1469,2.4474,246,1d,1y
CAMPUS,-0.1455,1.7689,246,1d,1y
CAMS,0.1537,1.9228,246,1d,1y
CANBK,0.299,1.8021,246,1d,1y
CANFINHOME,0.1334,2.0117,246,1d,1y
CANTABIL,0.0745,2.5019,245,1d,1y
CAPACITE,0.3338,3.0651,246,1d,1y
CAPITALSFB,-0.5061,2.6463,39,1d,1y
CAPLIPOINT,0.2945,2.3029,246,1d,1y
CAPTRUST,0.2125,3.5629,246,1d,1y
CARBORUNIV,0.0962,1.8448,246,1d,1y
CAREERP,0.1264,2.7478,245,1d,1y
