time,ltp,volume
2024-06-21 13:39:17.283,144.7,25
2024-06-21 13:39:18.371,145.1,50
2024-06-21 13:39:18.914,145.05,25
2024-06-21 13:39:19.337,144.65,250
2024-06-21 13:39:19.648,144.7,25
2024-06-21 13:39:20.649,146.6,25
2024-06-21 13:39:21.538,145.85,75
2024-06-21 13:39:21.619,146.2,75
2024-06-21 13:39:22.468,145.95,50
2024-06-21 13:39:22.468,145.95,50
2024-06-21 13:39:23.635,146.05,25
2024-06-21 13:39:23.733,146.0,125
2024-06-21 13:39:24.630,146.05,25
2024-06-21 13:39:24.708,146.2,50
2024-06-21 13:39:25.610,146.45,25
2024-06-21 13:39:25.945,146.3,100
2024-06-21 13:39:26.587,146.1,25
2024-06-21 13:39:27.296,146.3,25
2024-06-21 13:39:27.296,146.3,25
2024-06-21 13:39:28.520,146.75,25
2024-06-21 13:39:28.566,146.75,50
2024-06-21 13:39:29.624,146.75,75
2024-06-21 13:39:29.736,146.5,25
2024-06-21 13:39:30.167,146.2,50
2024-06-21 13:39:30.575,146.25,25
2024-06-21 13:39:30.575,146.25,25
2024-06-21 13:39:31.736,146.5,75
2024-06-21 13:39:32.478,146.65,100
2024-06-21 13:39:32.739,146.75,25
2024-06-21 13:39:33.164,146.85,25
2024-06-21 13:39:33.376,146.85,125
2024-06-21 13:39:34.380,147.0,50
2024-06-21 13:39:34.649,146.3,25
2024-06-21 13:39:35.602,146.3,25
2024-06-21 13:39:36.523,146.15,25
2024-06-21 13:39:36.611,146.1,25
2024-06-21 13:39:37.498,146.0,25
2024-06-21 13:39:38.276,145.5,50
2024-06-21 13:39:38.573,145.25,50
2024-06-21 13:39:39.341,145.1,25
2024-06-21 13:39:39.612,145.35,25
2024-06-21 13:39:40.264,145.05,25
2024-06-21 13:39:40.264,145.05,25
2024-06-21 13:39:41.574,145.2,100
2024-06-21 13:39:41.654,145.5,25
2024-06-21 13:39:42.669,146.3,25
2024-06-21 13:39:42.669,146.3,25
2024-06-21 13:39:42.669,146.3,25
2024-06-21 13:39:43.537,146.5,50
2024-06-21 13:39:44.299,146.35,125
2024-06-21 13:39:44.656,146.1,50
2024-06-21 13:39:45.310,146.15,25
2024-06-21 13:39:45.598,146.5,25
2024-06-21 13:39:46.375,146.35,75
2024-06-21 13:39:46.654,146.35,50
2024-06-21 13:39:47.154,146.1,75
2024-06-21 13:39:47.424,146.35,50
2024-06-21 13:39:48.655,146.0,25
2024-06-21 13:39:49.503,146.25,25
2024-06-21 13:39:49.626,146.05,100
2024-06-21 13:39:50.315,145.35,50
2024-06-21 13:39:50.783,144.9,75
2024-06-21 13:39:51.649,145.15,75
2024-06-21 13:39:51.701,145.4,150
2024-06-21 13:39:52.389,145.35,25
2024-06-21 13:39:52.746,145.4,75
2024-06-21 13:39:53.501,145.0,275
2024-06-21 13:39:53.912,145.1,25
2024-06-21 13:39:54.311,145.35,25
2024-06-21 13:39:54.617,145.15,25
2024-06-21 13:39:55.554,144.05,25
2024-06-21 13:39:55.653,144.25,25
2024-06-21 13:39:56.442,144.2,75
2024-06-21 13:39:57.497,144.5,50
2024-06-21 13:39:58.552,144.85,100
2024-06-21 13:39:58.757,144.65,425
2024-06-21 13:39:59.531,145.0,150
2024-06-21 13:40:00.272,144.95,25
2024-06-21 13:40:00.668,145.4,50
2024-06-21 13:40:00.792,145.4,25
2024-06-21 13:40:01.653,145.8,25
2024-06-21 13:40:01.885,145.2,50
2024-06-21 13:40:02.337,145.4,100
2024-06-21 13:40:02.593,145.35,25
2024-06-21 13:40:03.133,145.05,25
2024-06-21 13:40:04.541,144.15,200
2024-06-21 13:40:04.603,144.25,25
2024-06-21 13:40:05.799,143.7,25
2024-06-21 13:40:06.596,143.5,25
2024-06-21 13:40:06.772,143.75,100
2024-06-21 13:40:07.280,143.75,25
2024-06-21 13:40:08.070,142.65,200
2024-06-21 13:40:08.601,143.05,50
2024-06-21 13:40:09.647,143.4,175
2024-06-21 13:40:09.886,143.6,100
2024-06-21 13:40:10.018,143.9,50
2024-06-21 13:40:10.661,144.2,175
2024-06-21 13:40:11.593,144.85,50
2024-06-21 13:40:11.593,144.85,50
2024-06-21 13:40:11.737,144.8,50
2024-06-21 13:40:12.488,145.0,25
2024-06-21 13:40:13.485,144.95,150
2024-06-21 13:40:14.393,145.25,25
2024-06-21 13:40:14.393,145.25,25
2024-06-21 13:40:15.590,144.75,25
2024-06-21 13:40:16.646,144.05,25
2024-06-21 13:40:16.646,144.05,25
2024-06-21 13:40:17.640,143.95,150
2024-06-21 13:40:17.640,143.95,150
2024-06-21 13:40:18.388,143.5,75
2024-06-21 13:40:18.388,143.5,75
2024-06-21 13:40:19.244,143.85,75
2024-06-21 13:40:19.600,144.15,125
2024-06-21 13:40:20.621,143.45,375
2024-06-21 13:40:20.621,143.45,375
2024-06-21 13:40:21.402,144.0,50
2024-06-21 13:40:22.271,143.9,100
2024-06-21 13:40:23.600,144.05,100
2024-06-21 13:40:23.600,144.05,100
2024-06-21 13:40:24.391,144.3,125
2024-06-21 13:40:24.565,143.9,25
