name,avg_return,avg_volatility,len,interval,period
ASTRAL,-0.0013,0.0855,2622,1m,7d
ASTRAMICRO,0.0027,0.1354,2525,1m,7d
ASTRAZEN,0.0016,0.1934,1640,1m,7d
ASTRON,0.0142,0.6608,404,1m,7d
ATALREAL,0.0032,0.4536,1221,1m,7d
ATAM,0.0106,0.4102,1510,1m,7d
ATFL,0.0005,0.1793,1454,1m,7d
ATGL,-0.001,0.0866,2619,1m,7d
ATL,0.0007,0.2069,2295,1m,7d
ATLANTAA,0.0208,0.528,1252,1m,7d
ATUL,0.0018,0.0815,2477,1m,7d
ATULAUTO,-0.0007,0.1344,1954,1m,7d
AUBANK,0.0034,0.1103,2621,1m,7d
AURIONPRO,0.0003,0.4763,1849,1m,7d
AUROPHARMA,-0.0008,0.0959,2621,1m,7d
AURUM,-0.0022,0.7228,902,1m,7d
AUSOMENT,-0.017,0.8546,469,1m,7d
AUTOAXLES,0.0002,0.1314,1819,1m,7d
AUTOIND,-0.0055,0.2607,1651,1m,7d
AVADHSUGAR,0.0042,0.192,1570,1m,7d
AVALON,0.0009,0.1214,2137,1m,7d
AVANTIFEED,0.0008,0.1305,2518,1m,7d
AVG,-0.0001,0.2771,1551,1m,7d
AVONMORE,0.0022,0.4363,825,1m,7d
AVROIND,0.0137,0.577,1665,1m,7d
AVTNPL,-0.0007,0.1818,1964,1m,7d
AWHCL,-0.0002,0.1633,2133,1m,7d
AWL,-0.0009,0.1117,2620,1m,7d
AXISBANK,0.0007,0.0762,2622,1m,7d
AXISCADES,-0.0026,0.1946,1614,1m,7d
AXITA,-0.0013,0.1642,2515,1m,7d
AYMSYNTEX,0.0009,0.4262,1262,1m,7d
AZAD,-0.0019,0.1529,2550,1m,7d
BAFNAPH,-0.0104,1.5017,154,1m,7d
BAGFILMS,0.0055,0.7066,492,1m,7d
BAIDFIN,0.0028,0.3704,1003,1m,7d
BAJAJ-AUTO,-0.0005,0.0668,2622,1m,7d
BAJAJCON,-0.0007,0.1151,2454,1m,7d
